Title Searched,Year Searched,Director Searched,Publication,Score,Critic,Snippet,Date Written
EEPHUS,2024,Carson Lund,Washington Post,100,Ty Burr,"Eephus belongs with the great baseball movies not because of any major league ambitions but because it understands what the game has meant and still means in small towns, among average people and weekend players.","Mar 13, 2025"
EEPHUS,2024,Carson Lund,IndieWire,91,Christian Zilko,"The film’s only villain is the passage of time, and its protagonists are simply facing the unpleasant realization that their era is ending sooner than their lifespans.","May 21, 2024"
EEPHUS,2024,Carson Lund,Variety,90,Jessica Kiang,"Its pearls of practical wisdom and jewels of melancholic wit make Eephus a gem, which is fitting, for a movie about a game played on a diamond.","May 21, 2024"
EEPHUS,2024,Carson Lund,The Daily Beast,90,Nick Schager,"Modest and moving, it’s a new sports-movie classic, as sneakily effective as the pitch which gives it its title.","Mar 6, 2025"
EEPHUS,2024,Carson Lund,The New York Times,90,Alissa Wilkinson,"It dwells in some languid liminal space between hangout movie and elegy, a tribute to the community institutions that hold us together, that introduce us to one another and that, in an age of optimized life choices and disappearing public spaces, are slowly fading away.","Mar 6, 2025"
EEPHUS,2024,Carson Lund,New York Magazine (Vulture),90,Bilge Ebiri,"Slowly but surely, you settle into its gentle rhythms, and before you know it, it feels like an entire lifetime has passed by.","Mar 9, 2025"
EEPHUS,2024,Carson Lund,The Atlantic,90,David Sims,"Eephus is an elegy, but with just the barest hint of sentimentality—a shrugging send-off that simultaneously cares deeply about America’s pastime.","Mar 14, 2025"
EEPHUS,2024,Carson Lund,Los Angeles Times,90,Robert Abele,Maybe the most rewarding quality Eephus displays as a first-ballot hall of fame sports movie is the dedication of Lund and company to just being what they are: no-nonsense celebrants of something ephemeral yet enduring.,"Mar 14, 2025"
EEPHUS,2024,Carson Lund,Austin Chronicle,89,Kimberley Jones,"Sharing some of the same talent behind last year’s microindie critic’s darling Christmas Eve in Miller’s Point, Eephus is suffused with a sincere love for baseball but not overburdened with holiness about the game.","Mar 20, 2025"
EEPHUS,2024,Carson Lund,The Film Stage,83,Jordan Raup,"With a gentle yet rigorous vision, Eephus coalesces into a reflective study of nostalgia: both for a game that has evolved and for a certain kind of American social life that is dwindling as fast as the sun fades.","May 21, 2024"
