Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
EEPHUS,2024,Carson Lund,/movie/eephus/,Eephus,2025,Carson Lund,0.83,98,"Grown men's recreational baseball game stretches to extra innings on their beloved field's final day before demolition. Humor and nostalgia intertwine as daylight fades, signaling an era's end.","Michael Basta, Nate Fisher, Carson Lund"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,/movie/the-ballad-of-wallis-island/,The Ballad of Wallis Island,2025,James Griffiths,0.78,100,"Charles (Tim Key), an eccentric lottery winner, lives alone on a remote island and dreams of getting his favorite musicians, McGwyer Mortimer (Tom Basden & Carey Mulligan) back together. His fantasy turns into reality when the bandmates and former lovers accept his invitation to play a private show at his home on Wallis Island. Old tensi...","Tom Basden, Tim Key"
OUT OF SIGHT,1998,Steven Soderbergh,/movie/out-of-sight/,Out of Sight,1998,Steven Soderbergh,0.84,123,"Based on the novel by Elmore Leonard, Out of Sight tells the story of the unlikely relationship that forms between a sexy US Marshal (Lopez) and a charming career criminal (Clooney).","Elmore Leonard, Scott Frank"
ERASERHEAD,1977,David Lynch,/movie/eraserhead/,Eraserhead,1978,David Lynch,0.87,89,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.",David Lynch
LOST HIGHWAY,1997,David Lynch,/movie/lost-highway/,Lost Highway,1997,David Lynch,0.53,135,This neo-noir is a mesmerizing meditation on the mysterious nature of identity from director David Lynch. [October Films],"David Lynch, Barry Gifford"
THE ELEPHANT MAN,1980,David Lynch,/movie/the-elephant-man/,The Elephant Man,1980,David Lynch,0.78,124,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous facade, there is revealed a person of intelligence and sensitivity.","Christopher De Vore, Eric Bergren, David Lynch, Frederick Treves, Ashley Montagu"
THE STRAIGHT STORY,1999,David Lynch,/movie/the-straight-story/,The Straight Story,1999,David Lynch,0.86,112,"The true story of Alvin Straight (Farnsworth) who rides his 1961 lawnmower from Laurens, Iowa, to Mt. Zion, Wisconsin, to visit his estranged brother after the latter suffers a stroke.","John Roach, Mary Sweeney"
LYNCH/OZ,2022,Alexandre O. Philippe,/movie/lynchoz/,Lynch/Oz,2023,Alexandre O. Philippe,0.62,108,Victor Fleming's film The Wizard of Oz (1939) is one of David Lynch's most enduring obsessions. This documentary goes over the rainbow to explore this Technicolor through-line in Lynch's work.,Alexandre O. Philippe
THE WIZARD OF OZ,1939,"Victor Fleming, King Vidor",/movie/the-wizard-of-oz-re-release/,The Wizard of Oz,1939,"Victor Fleming, King Vidor",0.92,102,"Adapted from L. Frank Baum’s timeless children’s tale about a Kansas girl’s journey over the rainbow, The Wizard of Oz opened at Grauman’s Chinese Theater on August 15, 1939. [Warner Bros.]","Noel Langley, Florence Ryerson, Edgar Allan Woolf, L. Frank Baum, King Vidor, Richard Thorpe, Sid Silvers, George Seaton, Robert Pirosh, Ogden Nash, Jack Mintz, Herman J. Mankiewicz, John Lee Mahin, Bert Lahr, Samuel Hoffenstein"
WILD AT HEART,1990,David Lynch,/movie/wild-at-heart/,Wild at Heart,1990,David Lynch,0.52,124,"David Lynch explores old theme: the story of two people (Cage and Dern) who thoroughly love each other, of two people whose love seems so strong that nothing can corrupt it. Yet, the evil forces of murder, corruption and perversion, which lurk beneath the seemingly clean surface of modern day America transform their journey into a ghost ...","Barry Gifford, David Lynch"
